,comment,id,rating,Вопрос решен,Лишнее,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Нравится скорость отработки заявок,Понравилось выполнение заявки
0,благодарить оперативный решение проблема,3381812,5,1,0,0,0,1,0
1,спасибо управлять компания прислать грамотный специалист быстро отреагировать заявка,3627490,5,0,0,0,1,1,0
2,решить вопрос спасибо,3695420,5,1,0,0,0,0,1
3,исправить,3726842,5,1,0,0,0,0,0
4,спасибо большой скрипеть,3751364,5,0,0,1,0,0,1
5,очень оперативно,3799741,5,0,0,0,0,1,0
6,благодарить проделать работа,3835748,5,0,0,0,0,0,1
7,татьяна владимирович большой спасибо,3848236,5,0,0,0,1,0,0
8,спасибо мастер,3859764,5,0,0,0,1,0,0
9,сделать быстро спасибо,3866867,5,1,0,0,0,1,0
10,большой спасибо александруз оперативность профессионализм,3872124,5,0,0,1,1,1,1
11,оперативно качественно спасибо,3873692,5,0,0,1,0,1,1
12,благодарить добрый,3875262,5,0,0,0,0,0,1
13,мастер вопрос,3877334,3,0,1,0,0,0,0
14,мастер быстро решить проблемувс исправилочень довольнаспасибо,3877901,5,1,0,0,1,1,1
15,вытяжка заработать спасибо отдельный спасибо мастер который сообщить причина препятствовать подключение вытяжка домовой вентиляция,3878088,5,1,0,0,1,0,1
16,спасибо большой надолго лизакатываетглазый,3878555,5,0,0,0,0,0,1
17,огромный спасибо,3878808,5,0,0,0,0,0,1
18,вс очень чётко организовать большой спасибо работа,3879856,5,1,0,1,0,0,1
19,спасибо большой дверь номер квартира,3880345,5,0,0,0,0,0,1
20,снимать звезда первый отписка выполнение работа,3880717,3,0,1,0,0,0,0
21,день создание заявка рабочий оперативно прислать весь ужас убрать огромный благодарность,3881004,5,1,0,0,0,1,1
22,спасибо заработать,3881460,5,1,0,0,0,0,1
23,спасибо решить вопрос место офис,3881636,5,1,0,0,0,1,0
24,спасибо ольга птушкина проделать работа,3882840,5,1,0,0,1,0,0
25,вс сделать починить вовремя наверное молодец,3883200,5,1,0,1,0,1,1
26,супер спасибо,3883549,5,0,0,0,0,0,1
27,отлично выполнить обещать,3883658,5,1,0,0,0,0,1
28,очень оперативно спасибо большой,3883736,5,0,0,0,0,1,1
29,мастер андрей помочь подобрать оборудование краныпереходник подключение быстро качественно произвести подключение стиральный машинка огромный спасибо,3883745,5,1,0,1,1,1,1
30,умело подкрутить редуктор давление молодец,3884964,5,1,0,1,1,0,1
31,хорошодверить практически бесшумно закрываться,3885089,5,0,0,0,0,0,1
32,проблема таковой процесс поиск страх компания лишь спасибо сотрудник,3886150,5,0,0,0,1,0,0
33,быстро чтко проблема один слово мастер,3886231,5,0,0,1,1,1,0
34,работать спасибо,3886721,5,1,0,0,0,0,1
35,сегодня ездить исправно работать спасибо,3886923,5,1,0,0,0,0,1
36,спасибо большой вс понятно,3886937,5,0,0,0,0,0,1
37,татьяна спасибо алоесердце,3887002,5,0,0,0,1,0,0
38,вопрос ответить крепление повесить колясочный,3887203,5,1,0,0,0,0,0
39,хороший,3887353,5,0,0,0,0,0,1
40,спасибо быстро отреагировать,3887392,5,0,0,0,0,1,0
41,сервис высота мастер профессионал,3887422,5,0,0,1,1,0,1
42,надолго,3887616,2,0,1,0,0,0,0
43,спасибо работать,3887743,5,1,0,0,0,0,1
44,заявка выполнить спасибо,3887844,5,1,0,0,0,0,0
45,дверь закрываться намного,3887922,5,1,0,0,0,0,1
46,спасибо быстрый реагирование,3888009,5,0,0,0,0,1,0
47,оперативно сработать благодарить,3888318,5,0,0,0,0,1,0
48,спасибо сантехник алексей сделать качественно,3888354,5,1,0,1,1,0,0
49,огромный человеческий спасибо оперативность выполнение работа наш дежурный сантехник прибыть воскресение минута написание заявка решиться хороший образ вопрос оперативно решаться,3888539,5,1,0,0,1,1,1
50,очень оперативно никуда прийтись ходить,3888591,5,0,0,0,0,1,0
51,проблема решить,3888606,5,1,0,0,0,0,0
52,очень оперативно отреагировать спасибо,3888633,5,0,0,0,0,1,0
53,оперативно качественно вопрос возникнуть спасибо,3888794,5,0,0,1,0,1,1
54,быстро,3888811,5,0,0,0,0,1,0
55,спасибо оперативный решение проблема,3889213,5,1,0,0,0,1,0
56,оперативный работа,3889473,1,0,1,0,0,0,0
57,оперативный решение проблема,3889502,5,1,0,0,0,1,0
58,первый решить вопрос быстро,3889542,5,1,0,0,0,1,0
59,надолго,3889737,1,0,1,0,0,0,0
60,отлично спасибо,3889783,5,0,0,0,0,0,1
61,спасибо большой татьяна,3889827,5,0,0,0,1,0,0
62,хороший мастер свет улыбающеесялицоссердечкамиспасибо большой сложенныерук,3889956,5,0,0,0,1,0,0
63,спасибо большой починить домофон,3890030,5,1,0,0,0,0,1
64,отличный работа,3890209,5,1,0,0,0,0,1
65,спасибо огромный помощь,3890231,5,0,0,0,0,0,1
66,обычный услуга цена правда завысить около ти минута работа,3890239,5,0,1,0,0,0,0
67,отличный работа дверь закрываться плавно спасибо,3890275,5,1,0,0,0,0,1
68,супер быстро спасибо,3890393,5,0,0,0,0,1,0
69,оперативно спасибо,3890484,5,0,0,0,0,1,0
70,молодец оперативно,3890517,5,0,0,0,0,1,0
71,вопрос решиться быстро спасибо,3890604,5,1,0,0,0,1,0
72,спасибо подмигивать,3890656,5,0,0,0,0,0,1
73,александр спасибо объяснение причина бульканье,3890678,5,0,0,0,1,0,0
74,спасибо вс быстро,3890716,5,0,0,0,0,1,0
75,спасибо исправить мой ошибка,3890985,5,1,0,0,0,0,1
76,мастер сделать очень быстро аккуратно,3891095,5,0,0,1,1,1,0
77,очень вежливый профессиональный мастер устранить недочёт оперативно качественно просто отлично спасибо,3891325,5,1,0,1,1,1,1
78,иван огромный спасибо,3891380,5,0,0,0,1,0,0
79,среагировать минута,3891477,5,0,0,0,0,1,0
80,спасибо специалист роман который помочь наконецтый решить вопрос очень грамотный вежливый специалист,3891489,5,1,0,0,1,0,0
81,спасибо день электрик решить проблема,3891568,5,1,0,0,1,1,0
82,лифт пола помыть большой спасибо уборка ждм установка зеркало лифт,3891612,5,0,0,0,0,0,1
83,верно спасибо,3891850,5,0,0,0,0,0,1
84,спасибо вс бистро устранить,3891871,5,1,0,0,0,1,0
85,спасибо вроде стать,3891943,4,0,0,0,0,0,1
86,спасибо большой ваш быстрый профессиональный помощь,3892115,5,0,0,1,0,1,1
87,быстро смотреть поздний час,3892189,5,0,0,0,0,1,0
88,ответ предоставить оперативно полный объём,3892432,5,1,0,0,0,1,0
89,спасибо огромный напор стать отличный,3892474,5,1,0,1,0,0,1
90,спасибо правда убрать стать прям чисто мочь отмыть пятно чеготь быть очень признательный возможно нужный тряпка,3892548,5,0,0,0,0,0,1
91,спасибо мастер сергей чёткий работа,3892591,5,0,0,0,1,0,1
92,очень надеяться день встать снова,3892629,4,0,1,0,0,0,0
93,благодарить очень оперативно,3892632,5,0,0,0,0,1,0
