,comment,id,rating,Вопрос решен,Лишнее,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Нравится скорость отработки заявок,Понравилось выполнение заявки
0,Благодарю за оперативное решение проблемы !,3381812,5,1,0,0,0,1,0
1,спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку,3627490,5,0,0,0,1,1,0
2,Решили мой вопрос. Спасибо!,3695420,5,1,0,0,0,0,1
3,Все исправили,3726842,5,1,0,0,0,0,0
4,спасибо большое! теперь не скрипят,3751364,5,0,0,1,0,0,1
5,Все очень оперативно,3799741,5,0,0,0,0,1,0
6,Благодарю за проделанную работу!,3835748,5,0,0,0,0,0,1
7,Татьяна Владимировна большое вам спасибо!!!!,3848236,5,0,0,0,1,0,0
8,Спасибо мастеру,3859764,5,0,0,0,1,0,0
9,все сделали быстро. спасибо,3866867,5,1,0,0,0,1,0
10,"Большое спасибо Александру,за оперативность и профессионализм ",3872124,5,0,0,1,1,1,1
11,оперативно и качественно. спасибо,3873692,5,0,0,1,0,1,1
12,"благодарю, всего доброго!",3875262,5,0,0,0,0,0,1
13,К мастеру вопросов нет.,3877334,3,0,1,0,0,0,0
14,"Мастер быстро решил проблему!Всё исправил,очень довольна!Спасибо!",3877901,5,1,0,0,1,1,1
15,"вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции ",3878088,5,1,0,0,1,0,1
16,спасибо большое! надолго ли🙄,3878555,5,0,0,0,0,0,1
17,Огромное спасибо!,3878808,5,0,0,0,0,0,1
18,Всё очень четко организовано! Большое спасибо за работу!,3879856,5,1,0,1,0,0,1
19,Спасибо Вам большое и за дверь и за номера квартир!,3880345,5,0,0,0,0,0,1
20,снимаю звезду за первую отписку без выполнения работ,3880717,3,0,1,0,0,0,0
21,"В день создания заявки , рабочие оперативно пришли и весь ужас убрали , огромная благодарность ! ",3881004,5,1,0,0,0,1,1
22,Спасибо! Все заработало,3881460,5,1,0,0,0,0,1
23,"спасибо, решили мой вопрос на месте в офисе ",3881636,5,1,0,0,0,1,0
